,pigID,weight,backFat,farm,dayInseminated,birthingDate,aliveBooelan,sowNumber,sowParity,initialAge,growth_constant,earning,liveWeight
5076,5077.0,91.09367226264285,11.718660109105132,2.0,71.0,186.0,1.0,58.0,9.0,0.0,0.018659903854507102,13664.050839396428,120.81388894249716
4351,4352.0,91.09366603707478,11.71865937905494,3.0,57.0,169.0,1.0,75.0,4.0,15.0,0.01865990310249422,13664.049905561218,120.81388068577557
1029,1030.0,91.09365138304996,11.718657660629649,1.0,15.0,130.0,1.0,13.0,4.0,54.0,0.01865990133237216,13664.047707457494,120.81386125072939
8082,8083.0,91.09326785097745,11.718612685189706,3.0,113.0,225.0,1.0,84.0,7.0,0.0,0.018659855003901302,13663.990177646618,120.81335258750326
9800,9801.0,91.09290889626261,11.718570591848946,3.0,141.0,255.0,1.0,77.0,5.0,0.0,0.018659811644236454,13663.936334439391,120.8128765202422
2757,2758.0,91.09287359241928,11.718566451892997,1.0,43.0,160.0,1.0,6.0,1.0,24.0,0.018659807379735376,13663.931038862893,120.81282969816881
4578,4579.0,91.09275316365826,11.718552329641176,1.0,71.0,185.0,1.0,9.0,2.0,0.0,0.01865979283263435,13663.912974548739,120.8126699783266
1995,1996.0,91.0916848415058,11.71842705130788,1.0,29.0,147.0,1.0,20.0,6.0,37.0,0.018659663785480108,13663.75272622587,120.81125310544535
10878,10879.0,91.09117494758797,11.718367257864458,1.0,169.0,281.0,1.0,8.0,2.0,0.0,0.018659602193243023,13663.676242138195,120.81057685356495
8197,8198.0,91.09019711462837,11.718252590876473,1.0,127.0,241.0,1.0,5.0,1.0,0.0,0.018659484076688413,13663.529567194255,120.80927999287582
4800,4801.0,91.08789528427964,11.717982663430943,2.0,71.0,187.0,1.0,31.0,0.0,0.0,0.018659206028990186,13663.184292641947,120.80622716747962
8232,8233.0,91.08770964694094,11.717960894401504,1.0,127.0,243.0,1.0,8.0,2.0,0.0,0.018659183605085134,13663.156447041141,120.80598096411265
2422,2423.0,91.0874407313374,11.717929359626595,3.0,29.0,143.0,1.0,63.0,0.0,41.0,0.018659151121653735,13663.11610970061,120.80562431211857
7979,7980.0,91.08703566446383,11.71788185887724,3.0,113.0,228.0,1.0,74.0,4.0,0.0,0.01865910219194802,13663.055349669574,120.80508708814831
1698,1699.0,91.08584722727669,11.717742495081696,3.0,15.0,128.0,1.0,81.0,6.0,56.0,0.018658958635713853,13662.877084091504,120.80351091150754
109,110.0,91.0858329426602,11.717740819975605,1.0,1.0,116.0,1.0,12.0,3.0,68.0,0.01865895691021621,13662.87494139903,120.80349196639284
6516,6517.0,91.08552082707075,11.717704219292234,1.0,99.0,216.0,1.0,19.0,6.0,0.0,0.01865891920848989,13662.828124060612,120.80307801998774
2495,2496.0,91.0842478376159,11.717554940353443,3.0,29.0,140.0,1.0,70.0,3.0,44.0,0.01865876543887367,13662.637175642385,120.80138970506088
8629,8630.0,91.08402930376764,11.717529313667507,2.0,127.0,239.0,1.0,49.0,6.0,0.0,0.018658739041276934,13662.604395565146,120.80109987237087
11052,11053.0,91.08233105730086,11.71733016635376,1.0,169.0,284.0,1.0,25.0,8.0,0.0,0.018658533903174037,13662.349658595129,120.79884755610195
10668,10669.0,91.08118885374394,11.717196224211339,3.0,155.0,265.0,1.0,76.0,5.0,0.0,0.01865839593178626,13662.178328061591,120.79733269727312
3962,3963.0,91.08087007578654,11.71715884225581,2.0,57.0,169.0,1.0,37.0,2.0,15.0,0.018658357425311484,13662.130511367981,120.79690991483625
8619,8620.0,91.08084585386862,11.717156001837779,2.0,127.0,242.0,1.0,48.0,5.0,0.0,0.018658354499448433,13662.126878080293,120.7968777902767
174,175.0,91.08070819899982,11.717139859541659,1.0,1.0,115.0,1.0,18.0,5.0,69.0,0.018658337871562423,13662.106229849973,120.79669522413768
11309,11310.0,91.0798680708007,11.717041340700414,2.0,169.0,282.0,1.0,52.0,7.0,0.0,0.018658236389100927,13661.980210620104,120.7955809957569
9809,9810.0,91.07982878982625,11.717036734360464,3.0,141.0,255.0,1.0,78.0,5.0,0.0,0.018658231644194466,13661.974318473938,120.79552889897381
11002,11003.0,91.07573531892444,11.716556707609369,1.0,169.0,283.0,1.0,20.0,6.0,0.0,0.01865773717757457,13661.360297838666,120.79009989247274
5172,5173.0,91.0750538235086,11.716476791069542,3.0,71.0,183.0,1.0,67.0,2.0,1.0,0.01865765485706332,13661.258073526289,120.78919605239867
8858,8859.0,91.07498732771144,11.716468993344279,3.0,127.0,245.0,1.0,72.0,3.0,0.0,0.018657646824774922,13661.248099156715,120.78910786168626
803,804.0,91.07475802482996,11.716442103812179,3.0,1.0,118.0,1.0,81.0,6.0,66.0,0.01865761912638024,13661.213703724494,120.78880374645884
2212,2213.0,91.07460577168628,11.716424249628368,2.0,29.0,144.0,1.0,42.0,3.0,40.0,0.018657600735126185,13661.190865752942,120.78860181921257
6671,6672.0,91.07448991971701,11.716410664080614,2.0,99.0,213.0,1.0,34.0,1.0,0.0,0.018657586740912956,13661.17348795755,120.78844816938596
9378,9379.0,91.07389658889578,11.716341086288741,2.0,141.0,255.0,1.0,35.0,1.0,0.0,0.018657515070162306,13661.084488334367,120.78766125848246
6166,6167.0,91.07328639025964,11.7162695304683,3.0,85.0,200.0,1.0,74.0,4.0,0.0,0.01865744136188875,13660.992958538945,120.78685197647167
10341,10342.0,91.07314844744285,11.716253354405548,2.0,155.0,271.0,1.0,43.0,4.0,0.0,0.018657424699238718,13660.972267116427,120.7866690284388
1810,1811.0,91.07312479537055,11.716250580811282,1.0,29.0,144.0,1.0,2.0,0.0,40.0,0.01865742184221283,13660.968719305582,120.78663765964264
