,Run,Total Pigs Sold,Overweight,No Penalty,-10p/kg,-20p/kg,-25p/kg,-30p/kg,-35p/kg,-45p/kg,-50p/kg
202,203,4000,68,3932,0,0,0,0,0,0,0
203,204,4000,60,3940,0,0,0,0,0,0,0
204,205,4000,65,3935,0,0,0,0,0,0,0
205,206,4000,73,3927,0,0,0,0,0,0,0
206,207,4000,59,3941,0,0,0,0,0,0,0
207,208,4000,70,3930,0,0,0,0,0,0,0
208,209,4000,69,3931,0,0,0,0,0,0,0
209,210,4000,67,3933,0,0,0,0,0,0,0
210,211,4000,67,3933,0,0,0,0,0,0,0
211,212,4000,59,3941,0,0,0,0,0,0,0
212,213,4000,69,3931,0,0,0,0,0,0,0
213,214,4000,59,3941,0,0,0,0,0,0,0
214,215,4000,65,3935,0,0,0,0,0,0,0
215,216,4000,60,3940,0,0,0,0,0,0,0
216,217,4000,63,3937,0,0,0,0,0,0,0
217,218,4000,71,3929,0,0,0,0,0,0,0
218,219,4000,70,3930,0,0,0,0,0,0,0
219,220,4000,63,3937,0,0,0,0,0,0,0
220,221,4000,61,3939,0,0,0,0,0,0,0
221,222,4000,58,3942,0,0,0,0,0,0,0
222,223,4000,54,3946,0,0,0,0,0,0,0
223,224,4000,62,3938,0,0,0,0,0,0,0
224,225,4000,66,3934,0,0,0,0,0,0,0
225,226,4000,70,3930,0,0,0,0,0,0,0
226,227,4000,66,3934,0,0,0,0,0,0,0
227,228,4000,53,3947,0,0,0,0,0,0,0
228,229,4000,59,3941,0,0,0,0,0,0,0
229,230,4000,49,3951,0,0,0,0,0,0,0
230,231,4000,60,3940,0,0,0,0,0,0,0
231,232,4000,60,3940,0,0,0,0,0,0,0
232,233,4000,50,3950,0,0,0,0,0,0,0
233,234,4000,68,3932,0,0,0,0,0,0,0
234,235,4000,62,3938,0,0,0,0,0,0,0
235,236,4000,58,3942,0,0,0,0,0,0,0
236,237,4000,66,3934,0,0,0,0,0,0,0
237,238,4000,71,3929,0,0,0,0,0,0,0
238,239,4000,55,3945,0,0,0,0,0,0,0
239,240,4000,67,3933,0,0,0,0,0,0,0
240,241,4000,67,3933,0,0,0,0,0,0,0
241,242,4000,71,3929,0,0,0,0,0,0,0
242,243,4000,44,3956,0,0,0,0,0,0,0
243,244,4000,63,3937,0,0,0,0,0,0,0
244,245,4000,53,3947,0,0,0,0,0,0,0
245,246,4000,56,3944,0,0,0,0,0,0,0
246,247,4000,59,3941,0,0,0,0,0,0,0
247,248,4000,73,3927,0,0,0,0,0,0,0
248,249,4000,64,3936,0,0,0,0,0,0,0
249,250,4000,68,3932,0,0,0,0,0,0,0
